
 *GET  ACTIVEUNITS  FROM  ACTI  ITEM=UNIT       VALUE=  5.00000000    

 *** MAPDL - ENGINEERING ANALYSIS SYSTEM  RELEASE 2025 R2          25.2     ***
 Ansys Mechanical Enterprise Academic Student      
 01055371  VERSION=WINDOWS x64   15:00:54  DEC 06, 2025 CP=      1.875

 simulazioneTrasduttoreUltrasonicoConConcentratore--Harmonic Response (E3)     



          ***** MAPDL POST26 VARIABLE LISTING *****


    FREQ                 6 REAL                      7 IMAG    
                      IMPD_REA                    IMPD_IMA
                      L                           G       
                    REAL       IMAGINARY        REAL       IMAGINARY    
    40100.       0.00000       0.00000      -1752.03       0.00000     
    40200.       0.00000       0.00000      -1718.75       0.00000     
    40300.       0.00000       0.00000      -1690.94       0.00000     
    40400.       0.00000       0.00000      -1667.20       0.00000     
    40500.       0.00000       0.00000      -1646.55       0.00000     
    40600.       0.00000       0.00000      -1628.65       0.00000     
    40700.       0.00000       0.00000      -1612.35       0.00000     
    40800.       0.00000       0.00000      -1597.75       0.00000     
    40900.       0.00000       0.00000      -1584.47       0.00000     
    41000.       0.00000       0.00000      -1572.28       0.00000     
    41100.       0.00000       0.00000      -1561.02       0.00000     
    41200.       0.00000       0.00000      -1550.54       0.00000     
    41300.       0.00000       0.00000      -1540.73       0.00000     
    41400.       0.00000       0.00000      -1531.51       0.00000     
    41500.       0.00000       0.00000      -1522.80       0.00000     
    41600.       0.00000       0.00000      -1514.53       0.00000     
    41700.       0.00000       0.00000      -1506.65       0.00000     
    41800.       0.00000       0.00000      -1499.13       0.00000     
    41900.       0.00000       0.00000      -1491.92       0.00000     
    42000.       0.00000       0.00000      -1484.99       0.00000     
    42100.       0.00000       0.00000      -1478.31       0.00000     
    42200.       0.00000       0.00000      -1471.86       0.00000     
    42300.       0.00000       0.00000      -1465.61       0.00000     
    42400.       0.00000       0.00000      -1459.56       0.00000     
    42500.       0.00000       0.00000      -1453.68       0.00000     
    42600.       0.00000       0.00000      -1447.95       0.00000     
    42700.       0.00000       0.00000      -1442.38       0.00000     
    42800.       0.00000       0.00000      -1436.94       0.00000     
    42900.       0.00000       0.00000      -1431.62       0.00000     
    43000.       0.00000       0.00000      -1426.42       0.00000     
    43100.       0.00000       0.00000      -1421.33       0.00000     
    43200.       0.00000       0.00000      -1416.34       0.00000     
    43300.       0.00000       0.00000      -1411.44       0.00000     
    43400.       0.00000       0.00000      -1406.63       0.00000     
    43500.       0.00000       0.00000      -1401.90       0.00000     
    43600.       0.00000       0.00000      -1397.26       0.00000     
    43700.       0.00000       0.00000      -1392.68       0.00000     
    43800.       0.00000       0.00000      -1388.18       0.00000     
    43900.       0.00000       0.00000      -1383.74       0.00000     
    44000.       0.00000       0.00000      -1379.36       0.00000     
    44100.       0.00000       0.00000      -1375.04       0.00000     
    44200.       0.00000       0.00000      -1370.78       0.00000     
    44300.       0.00000       0.00000      -1366.57       0.00000     
    44400.       0.00000       0.00000      -1362.41       0.00000     
    44500.       0.00000       0.00000      -1358.30       0.00000     
    44600.       0.00000       0.00000      -1354.23       0.00000     
    44700.       0.00000       0.00000      -1350.21       0.00000     
    44800.       0.00000       0.00000      -1346.23       0.00000     
    44900.       0.00000       0.00000      -1342.29       0.00000     
    45000.       0.00000       0.00000      -1338.39       0.00000     
    45100.       0.00000       0.00000      -1334.53       0.00000     
    45200.       0.00000       0.00000      -1330.70       0.00000     
    45300.       0.00000       0.00000      -1326.91       0.00000     
    45400.       0.00000       0.00000      -1323.15       0.00000     
    45500.       0.00000       0.00000      -1319.42       0.00000     
    45600.       0.00000       0.00000      -1315.73       0.00000     
    45700.       0.00000       0.00000      -1312.06       0.00000     
    45800.       0.00000       0.00000      -1308.42       0.00000     
    45900.       0.00000       0.00000      -1304.81       0.00000     
    46000.       0.00000       0.00000      -1301.22       0.00000     
    46100.       0.00000       0.00000      -1297.66       0.00000     
    46200.       0.00000       0.00000      -1294.13       0.00000     
    46300.       0.00000       0.00000      -1290.61       0.00000     
    46400.       0.00000       0.00000      -1287.13       0.00000     
