!Keysight Technologies,E4990A,MY54403861,A.04.00
!Date: Wed Mar 26 11:24:29 2025

BEGIN CH1_DATA
Frequency(Hz), |Z|(Ohm)-data, theta-z(deg)-data
+9.81612500000e+005, +2.09350896577e+001, -8.00921049876e+001
+9.81725000000e+005, +2.07746419097e+001, -8.00027883697e+001
+9.81837500000e+005, +2.06142042802e+001, -7.99089754216e+001
+9.81950000000e+005, +2.04530777124e+001, -7.98123625698e+001
+9.82062500000e+005, +2.02919612624e+001, -7.97167865536e+001
+9.82175000000e+005, +2.01315566255e+001, -7.96181617069e+001
+9.82287500000e+005, +1.99699498470e+001, -7.95131801079e+001
+9.82400000000e+005, +1.98093471110e+001, -7.94081546678e+001
+9.82512500000e+005, +1.96494533878e+001, -7.93017271967e+001
+9.82625000000e+005, +1.94882852749e+001, -7.91931665589e+001
+9.82737500000e+005, +1.93272728941e+001, -7.90827885221e+001
+9.82850000000e+005, +1.91665461490e+001, -7.89678267172e+001
+9.82962500000e+005, +1.90060407782e+001, -7.88524713449e+001
+9.83075000000e+005, +1.88456072273e+001, -7.87358662239e+001
+9.83187500000e+005, +1.86848727189e+001, -7.86175296946e+001
+9.83300000000e+005, +1.85238920592e+001, -7.84933474733e+001
+9.83412500000e+005, +1.83625892330e+001, -7.83685566028e+001
+9.83525000000e+005, +1.82016375465e+001, -7.82430695641e+001
+9.83637500000e+005, +1.80398858212e+001, -7.81130177132e+001
+9.83750000000e+005, +1.78781663455e+001, -7.79820557498e+001
+9.83862500000e+005, +1.77164855810e+001, -7.78502134737e+001
+9.83975000000e+005, +1.75538076849e+001, -7.77089482368e+001
+9.84087500000e+005, +1.73910123604e+001, -7.75671340649e+001
+9.84200000000e+005, +1.72282667037e+001, -7.74196009085e+001
+9.84312500000e+005, +1.70660800598e+001, -7.72699624127e+001
+9.84425000000e+005, +1.69028913823e+001, -7.71179348498e+001
+9.84537500000e+005, +1.67405601382e+001, -7.69651625269e+001
+9.84650000000e+005, +1.65775052016e+001, -7.68041461189e+001
+9.84762500000e+005, +1.64145908571e+001, -7.66423220209e+001
+9.84875000000e+005, +1.62512572124e+001, -7.64723174594e+001
+9.84987500000e+005, +1.60877561710e+001, -7.63032210578e+001
+9.85100000000e+005, +1.59244674391e+001, -7.61271953740e+001
+9.85212500000e+005, +1.57605792352e+001, -7.59491877144e+001
+9.85325000000e+005, +1.55965963001e+001, -7.57649130029e+001
+9.85437500000e+005, +1.54318254983e+001, -7.55726577932e+001
+9.85550000000e+005, +1.52674494270e+001, -7.53789040969e+001
+9.85662500000e+005, +1.51027581793e+001, -7.51776789609e+001
+9.85775000000e+005, +1.49388682586e+001, -7.49673241445e+001
+9.85887500000e+005, +1.47734605268e+001, -7.47550760311e+001
+9.86000000000e+005, +1.46090901696e+001, -7.45398834897e+001
+9.86112500000e+005, +1.44448571564e+001, -7.43121574637e+001
+9.86225000000e+005, +1.42806141388e+001, -7.40812392340e+001
+9.86337500000e+005, +1.41161968475e+001, -7.38450688265e+001
+9.86450000000e+005, +1.39514625911e+001, -7.35999878847e+001
+9.86562500000e+005, +1.37876954462e+001, -7.33492583044e+001
+9.86675000000e+005, +1.36227695911e+001, -7.30914438460e+001
+9.86787500000e+005, +1.34582157826e+001, -7.28278299216e+001
+9.86900000000e+005, +1.32944480191e+001, -7.25554375101e+001
+9.87012500000e+005, +1.31305626019e+001, -7.22762482685e+001
+9.87125000000e+005, +1.29652093401e+001, -7.19849744877e+001
+9.87237500000e+005, +1.28006635958e+001, -7.16895430979e+001
+9.87350000000e+005, +1.26363960573e+001, -7.13812121770e+001
+9.87462500000e+005, +1.24719642207e+001, -7.10646364294e+001
